ID Value Bucket,Value Bucket,ID Year,Year,Property Value by Bucket,Property Value by Bucket Moe,Geography,ID Geography,Slug Geography,share
0,"Less Than $10,000",2021,"2021",1045047,8871,"United States","01000US","united-states",0.013038288512271054
1,"$10,000 to $14,999",2021,"2021",533830,6098,"United States","01000US","united-states",0.0066602072026479735
2,"$15,000 to $19,999",2021,"2021",476859,5785,"United States","01000US","united-states",0.005949421625700148
3,"$20,000 to $24,999",2021,"2021",512481,6036,"United States","01000US","united-states",0.006393851314875965
4,"$25,000 to $29,999",2021,"2021",468889,5484,"United States","01000US","united-states",0.005849985753971125
5,"$30,000 to $34,999",2021,"2021",549446,6107,"United States","01000US","united-states",0.00685503663463297
6,"$35,000 to $39,999",2021,"2021",400870,4927,"United States","01000US","united-states",0.0050013623463003075
7,"$40,000 to $49,999",2021,"2021",1021769,9220,"United States","01000US","united-states",0.012747865899710427
8,"$50,000 to $59,999",2021,"2021",1253441,9767,"United States","01000US","united-states",0.01563826831818047
9,"$60,000 to $69,999",2021,"2021",1442791,9644,"United States","01000US","united-states",0.01800065003861842
10,"$70,000 to $79,999",2021,"2021",1653143,12277,"United States","01000US","united-states",0.020625058381145832
11,"$80,000 to $89,999",2021,"2021",1947871,13999.999999999998,"United States","01000US","united-states",0.024302164479383156
12,"$90,000 to $99,999",2021,"2021",1648381,13752,"United States","01000US","united-states",0.02056564638350799
13,"$100,000 to $124,999",2021,"2021",4666412,24652,"United States","01000US","united-states",0.058219415943133464
14,"$125,000 to $149,999",2021,"2021",4363124,28053,"United States","01000US","united-states",0.05443551297387977
15,"$150,000 to $174,999",2021,"2021",5902782,31519.999999999996,"United States","01000US","united-states",0.07364470185651015
16,"$175,000 to $199,999",2021,"2021",4481505,27119,"United States","01000US","united-states",0.05591246629021019
17,"$200,000 to $249,999",2021,"2021",8592193,45046,"United States","01000US","united-states",0.10719851957578536
18,"$250,000 to $299,999",2021,"2021",7490330,39115,"United States","01000US","united-states",0.09345137930841316
19,"$300,000 to $399,999",2021,"2021",10898378,49891,"United States","01000US","united-states",0.13597110625626177
20,"$400,000 to $499,999",2021,"2021",6615893,32080,"United States","01000US","united-states",0.08254166721718208
21,"$500,000 to $749,999",2021,"2021",7797250,34847,"United States","01000US","united-states",0.09728059609022893
22,"$750,000 to $999,999",2021,"2021",3132568,17443,"United States","01000US","united-states",0.03908276409415836
23,"$1,000,000 to $1,499,999",2021,"2021",1757370,11141,"United States","01000US","united-states",0.021925422572199895
24,"$1,500,000 to $1,999,999",2021,"2021",641616,5895,"United States","01000US","united-states",0.008004974438555686
25,"$2,000,000 or More",2021,"2021",857922,7013,"United States","01000US","united-states",0.010703666492535367
0,"Less Than $10,000",2021,"2021",1161,236,"San Francisco, CA","16000US0667000","san-francisco-ca",0.008410118219749652
1,"$10,000 to $14,999",2021,"2021",175,99,"San Francisco, CA","16000US0667000","san-francisco-ca",0.0012676750115901715
2,"$15,000 to $19,999",2021,"2021",54,65,"San Francisco, CA","16000US0667000","san-francisco-ca",0.0003911682892906815
3,"$20,000 to $24,999",2021,"2021",28,39,"San Francisco, CA","16000US0667000","san-francisco-ca",0.00020282800185442745
4,"$25,000 to $29,999",2021,"2021",82,90,"San Francisco, CA","16000US0667000","san-francisco-ca",0.000593996291145109
5,"$30,000 to $34,999",2021,"2021",0,31,"San Francisco, CA","16000US0667000","san-francisco-ca",0
6,"$35,000 to $39,999",2021,"2021",29,28.999999999999996,"San Francisco, CA","16000US0667000","san-francisco-ca",0.00021007185906351413
7,"$40,000 to $49,999",2021,"2021",49,41,"San Francisco, CA","16000US0667000","san-francisco-ca",0.000354949003245248
8,"$50,000 to $59,999",2021,"2021",91,68,"San Francisco, CA","16000US0667000","san-francisco-ca",0.0006591910060268892
9,"$60,000 to $69,999",2021,"2021",13,13,"San Francisco, CA","16000US0667000","san-francisco-ca",0.00009417014371812703
10,"$70,000 to $79,999",2021,"2021",158,181,"San Francisco, CA","16000US0667000","san-francisco-ca",0.0011445294390356978
11,"$80,000 to $89,999",2021,"2021",60,57.00000000000001,"San Francisco, CA","16000US0667000","san-francisco-ca",0.0004346314325452017
12,"$90,000 to $99,999",2021,"2021",104,53,"San Francisco, CA","16000US0667000","san-francisco-ca",0.0007533611497450162
