Year,Income,Home,Zip Code
2011,22159,562300,94102
2011,42801,660400,94103
2011,120257,743100,94105
2011,72467,633600,94112
2011,77612,886700,94121
2011,79441,794700,94122
2011,46025,545300,94124
2011,138003,977400,94127
2011,50378,904900,94133
2011,57075,581000,94134
2012,22252,596800,94102
2012,44145,654400,94103
2012,142389,776200,94105
2012,72396,618400,94112
2012,72371,874900,94121
2012,77889,795200,94122
2012,46692,490500,94124
2012,128079,929600,94127
2012,46841,915600,94133
2012,59690,570900,94134
2013,22517,577500,94102
2013,43364,628200,94103
2013,163949,732200,94105
2013,71625,609600,94112
2013,72756,851200,94121
2013,81768,809500,94122
2013,50146,472800,94124
2013,131351,934000,94127
2013,50485,944300,94133
2013,56716,557000,94134
2014,24127,579400,94102
2014,41612,644600,94103
2014,170656,697700,94105
2014,71505,622400,94112
2014,70220,864500,94121
2014,86070,828000,94122
2014,49594,478300,94124
2014,131108,952800,94127
2014,53150,936100,94133
2014,60230,569700,94134
2015,25362,563700,94102
2015,43321,701200,94103
2015,172570,671600,94105
2015,72545,637500,94112
2015,69813,908100,94121
2015,90514,848400,94122
2015,49945,505600,94124
2015,131842,992400,94127
2015,54496,963400,94133
2015,62773,599400,94134
2016,29456,686500,94102
2016,46140,738600,94103
2016,195165,779100,94105
2016,77388,670800,94112
2016,77280,979700,94121
2016,97091,896400,94122
2016,53322,563600,94124
2016,138381,1079900,94127
2016,55098,1090600,94133
2016,66925,639300,94134
2017,33552,773600,94102
2017,49052,827300,94103
2017,199364,808400,94105
2017,82692,722900,94112
2017,87001,1098400,94121
2017,102838,963500,94122
2017,55823,624300,94124
2017,151094,1219100,94127
2017,66422,1155900,94133
2017,71352,680600,94134
2018,41835,884100,94102
2018,57015,896900,94103
2018,213009,959800,94105
2018,89355,803000,94112
2018,95036,1197900,94121
2018,109607,1058700,94122
2018,56607,677700,94124
2018,158162,1344000,94127
2018,66811,1237600,94133
2018,76229,763900,94134
2019,46372,1007700,94102
2019,75764,898100,94103
2019,213987,1226200,94105
2019,94757,870600,94112
2019,103151,1318100,94121
2019,122076,1167600,94122
2019,63267,753200,94124
2019,172713,1471800,94127
2019,69756,1420500,94133
2019,77983,828900,94134
2020,53539,1077600,94102
2020,87587,927600,94103
2020,260000,1532900,94105
2020,105340,958100,94112
2020,107158,1526400,94121
2020,122144,1216100,94122
2020,67094,816200,94124
2020,176025,1586600,94127
2020,68423,1251500,94133
2020,82810,909100,94134
2021,55888,1029900,94102
2021,93143,960700,94103
2021,244662,1476600,94105
2021,112795,1038800,94112
2021,116970,1584900,94121
2021,130708,1315300,94122
2021,66618,888800,94124
2021,180768,1651300,94127
2021,71063,1391300,94133
2021,93068,934200,94134
2022,62388,1051100,94102
2022,111028,1051200,94103
2022,270000,1434800,94105
2022,120731,1167700,94112
2022,132519,1701500,94121
2022,141760,1512600,94122
2022,76341,1011500,94124
2022,200082,1893700,94127
2022,77652,1668300,94133
2022,104247,1051800,94134
